Title,Uploader,Date Uploaded,Player 1,Player 2 ,Character 1,Character 2,Timestamp,Winner,ID,Set?
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,Felicia,Wolf,https://youtu.be/Cm9UTXJZgzw?t=41,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,Felicia,Wolf,https://youtu.be/Cm9UTXJZgzw?t=89,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,Felicia,Wolf,https://youtu.be/Cm9UTXJZgzw?t=183,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,Felicia,Wolf,https://youtu.be/Cm9UTXJZgzw?t=279,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,Felicia,Wolf,https://youtu.be/Cm9UTXJZgzw?t=346,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,Felicia,Wolf,https://youtu.be/Cm9UTXJZgzw?t=397,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,Felicia,Wolf,https://youtu.be/Cm9UTXJZgzw?t=477,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,QBee,Wolf,https://youtu.be/Cm9UTXJZgzw?t=564,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,QBee,Wolf,https://youtu.be/Cm9UTXJZgzw?t=674,,https://youtu.be/Cm9UTXJZgzw,
第19回ヴァンパイアセイヴァー制限付大会～小林制約～ 2020/12/27,BIG-ONE2nd CHANNEL1,"Dec 26, 2020",,,QBee,Wolf,https://youtu.be/Cm9UTXJZgzw?t=776,,https://youtu.be/Cm9UTXJZgzw,
